"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Tanner Roark","Blue Jays","4","4","5.06","11","11","0","64.0","68","36","12","54","20","1.38","7.61","2.77","5.03","0.5","0.5","572.6","8753"
"Ross Stripling","Dodgers","3","2","4.13","7","13","0","42.0","42","19","6","37","11","1.26","8.00","2.37","4.26","0.5","0.5","203.6","13273"
"Matt Shoemaker","Blue Jays","3","3","4.91","9","9","0","50.0","53","28","9","45","15","1.36","8.00","2.75","4.92","0.5","0.4","405.6","4776"
"John Means","Orioles","3","4","5.25","11","11","0","63.0","68","37","14","49","18","1.37","7.03","2.59","5.51","0.5","0.5","449.7","16269"
"Ryan Yarbrough","Rays","3","3","4.51","9","9","0","52.0","54","26","8","42","15","1.32","7.29","2.56","4.70","0.5","0.6","231.2","16502"
"Caleb Smith","Marlins","3","5","4.77","11","11","0","66.0","63","35","12","66","26","1.35","8.98","3.57","4.97","0.5","0.5","245.5","14875"
"Carlos Martinez","Cardinals","3","3","4.43","8","14","0","54.0","54","27","7","48","23","1.41","7.90","3.76","4.51","0.5","0.5","161.3","11682"
"Carlos Rodon","White Sox","3","3","4.61","7","14","0","48.0","46","24","8","47","19","1.36","8.85","3.58","4.67","0.5","0.5","579.3","16137"
"Kwang-hyun Kim","Cardinals","2","2","3.99","4","21","6","41.0","40","18","6","38","11","1.25","8.50","2.46","4.07","0.5","0.6","366.6","27458"
"Liam Hendriks","Athletics","2","1","3.14","0","26","11","26.0","20","9","3","34","8","1.07","11.80","2.71","3.10","0.5","0.4","75.8","3548"
"Jake Arrieta","Phillies","3","4","4.88","11","11","0","62.0","66","34","10","48","23","1.43","6.89","3.36","4.97","0.5","0.5","541.1","4153"
"Jose Quintana","Cubs","2","2","4.52","7","7","0","40.0","42","20","6","33","13","1.36","7.48","2.86","4.59","0.5","0.5","552.6","11423"
"Ryan Weber","Red Sox","3","3","4.94","9","9","0","50.0","57","27","8","32","14","1.44","5.83","2.60","4.89","0.5","0.5","599.3","10160"
"Kendall Graveman","Mariners","2","3","4.67","8","8","0","47.0","52","25","7","36","14","1.38","6.84","2.62","4.74","0.5","0.4","600.4","15514"
"Adam Wainwright","Cardinals","3","4","4.71","10","10","0","58.0","61","30","8","46","21","1.43","7.13","3.30","4.75","0.5","0.4","532.4","2233"
"Jordan Montgomery","Yankees","3","3","4.73","8","11","0","49.0","50","26","9","47","17","1.35","8.63","3.10","4.86","0.5","0.5","293.3","16511"
"Homer Bailey","Twins","3","3","5.05","10","10","0","52.0","57","29","9","42","17","1.41","7.16","2.93","5.03","0.5","0.4","514.7","8362"
"Brady Singer","Royals","3","3","4.83","8","8","0","48.0","52","26","7","34","17","1.44","6.40","3.23","4.84","0.5","0.5","585.8","25377"
"Dakota Hudson","Cardinals","3","4","4.69","11","11","0","63.0","67","33","7","44","29","1.54","6.37","4.22","4.82","0.5","0.5","388.1","19206"
"Mike Foltynewicz","Braves","3","4","4.88","11","11","0","62.0","64","34","11","56","21","1.37","8.02","3.10","4.96","0.4","0.5","217.5","10811"
"Chad Kuhl","Pirates","2","3","4.67","7","15","0","47.0","48","25","7","45","17","1.38","8.46","3.18","4.55","0.4","0.3","596.7","14975"
"Mike Fiers","Athletics","4","4","5.14","11","11","0","67.0","72","38","13","52","20","1.38","6.93","2.74","5.20","0.4","0.3","429.3","7754"
"Framber Valdez","Astros","2","1","3.60","4","11","0","27.0","24","11","2","28","13","1.36","9.37","4.26","3.86","0.4","0.5","584.4","17295"
"Freddy Peralta","Brewers","2","2","4.28","4","20","0","36.0","30","17","6","44","17","1.32","10.90","4.28","4.36","0.4","0.4","370.3","18679"
"Tyler Chatwood","Cubs","3","4","4.77","10","13","0","58.0","58","31","7","51","34","1.58","7.87","5.23","4.92","0.4","0.4","559.1","4338"
"Trevor Williams","Pirates","3","5","5.22","11","11","0","66.0","75","38","12","50","21","1.44","6.76","2.82","5.07","0.4","0.2","591.0","16977"
"Justus Sheffield","Mariners","3","3","4.56","9","9","0","52.0","51","26","7","46","24","1.46","8.00","4.23","4.82","0.4","0.6","470.0","17285"
"Daniel Norris","Tigers","3","3","4.95","8","8","0","44.0","46","24","8","38","15","1.40","7.81","3.08","4.91","0.4","0.4","596.4","13475"
"Sandy Alcantara","Marlins","3","5","4.89","11","11","0","70.0","72","38","10","55","30","1.47","7.07","3.88","4.99","0.4","0.3","277.7","18684"
"Edwin Diaz","Mets","1","1","3.04","0","24","11","24.0","17","8","3","35","9","1.07","13.09","3.26","3.00","0.4","0.4","113.7","14710"
"Nate Pearson","Blue Jays","2","2","4.79","7","7","0","41.0","41","22","7","38","14","1.35","8.36","3.11","4.84","0.4","0.4","999.0","sa3005097"
"Anibal Sanchez","Nationals","3","4","5.19","11","11","0","60.0","65","35","11","49","21","1.42","7.27","3.15","5.19","0.4","0.4","394.8","3284"
"Gio Gonzalez","White Sox","3","3","4.90","8","10","0","48.0","50","26","8","41","20","1.47","7.69","3.81","4.97","0.4","0.3","569.9","7448"
"Jose Leclerc","Rangers","1","1","3.52","0","24","10","24.0","18","10","3","34","12","1.23","12.53","4.47","3.65","0.4","0.5","150.3","14524"
"Jonathan Loaisiga","Yankees","2","1","4.20","4","11","0","27.0","24","13","4","30","10","1.28","9.93","3.31","4.27","0.4","0.4","563.7","19753"
"Aroldis Chapman","Yankees","1","1","3.04","0","20","11","20.0","14","7","2","29","9","1.13","13.00","3.85","3.21","0.4","0.4","84.7","10233"
"Chad Green","Yankees","1","1","3.49","0","22","0","22.0","18","9","3","30","6","1.08","12.00","2.60","3.51","0.4","0.4","564.2","15552"
"Vince Velasquez","Phillies","3","4","4.87","10","13","0","53.0","52","29","10","52","20","1.35","8.86","3.40","5.07","0.4","0.5","518.2","11189"
"Justin Dunn","Mariners","2","3","4.83","7","7","0","38.0","38","21","6","35","16","1.41","8.29","3.80","4.96","0.4","0.3","593.8","19268"
"Matt Hall","Red Sox","2","2","4.45","5","9","0","32.0","31","16","5","30","13","1.41","8.38","3.80","4.60","0.4","0.5","999.0","18076"
"Mike Montgomery","Royals","3","3","4.93","10","10","0","52.0","57","29","7","36","20","1.49","6.19","3.49","4.98","0.4","0.5","600.9","4869"
"Nick Anderson","Rays","1","1","3.26","0","24","8","24.0","18","9","3","33","8","1.09","12.25","2.98","3.32","0.4","0.4","122.5","18337"
"Kyle Wright","Braves","2","2","4.39","6","10","0","37.0","37","18","5","34","14","1.38","8.28","3.48","4.42","0.4","0.4","511.6","19665"
"Ken Giles","Blue Jays","1","1","3.53","0","24","11","24.0","20","9","3","30","8","1.16","11.26","2.97","3.45","0.4","0.3","97.9","12910"
"Sean Newcomb","Braves","3","3","4.47","7","15","0","45.0","43","22","6","43","20","1.41","8.71","4.04","4.61","0.3","0.5","477.2","16943"
"Trent Thornton","Blue Jays","2","2","4.68","5","15","0","36.0","36","19","6","33","12","1.34","8.37","2.95","4.69","0.3","0.3","591.7","17948"
"Jeff Hoffman","Rockies","2","3","5.35","8","12","0","49.0","52","29","9","43","21","1.49","7.86","3.83","5.25","0.3","0.5","999.0","17432"
"Ryan Pressly","Astros","1","1","3.35","0","24","2","24.0","20","9","3","29","7","1.15","10.76","2.77","3.35","0.3","0.3","286.2","7005"
"Matt Barnes","Red Sox","1","1","3.39","0","25","2","25.0","19","9","3","34","12","1.23","12.30","4.14","3.38","0.3","0.4","500.0","12863"
"Merrill Kelly","Diamondbacks","3","3","4.93","8","13","0","52.0","56","29","9","44","17","1.39","7.49","2.99","4.87","0.3","0.3","552.9","11156"
"MacKenzie Gore","Padres","2","2","4.36","5","5","0","31.0","29","15","5","30","12","1.35","8.68","3.63","4.57","0.3","0.4","999.0","sa3005068"
"Taijuan Walker","Mariners","2","3","4.83","8","8","0","47.0","48","25","8","41","15","1.36","7.84","2.95","4.91","0.3","0.4","547.4","11836"
"Taylor Rogers","Twins","1","1","3.50","0","24","11","24.0","21","9","3","28","7","1.18","10.47","2.67","3.50","0.3","0.4","84.5","13449"
"Diego Castillo","Rays","1","1","3.25","0","22","2","22.0","18","8","2","27","8","1.18","10.97","3.28","3.39","0.3","0.3","344.8","17496"
"Ivan Nova","Tigers","3","4","5.49","10","10","0","56.0","67","34","11","35","14","1.45","5.63","2.20","5.35","0.3","0.2","597.1","1994"
"Jose Urena","Marlins","2","4","4.81","9","11","0","53.0","57","28","8","39","18","1.42","6.65","3.02","4.89","0.3","0.3","593.4","11589"
"Steven Brault","Pirates","3","4","4.89","9","16","0","56.0","58","30","8","46","26","1.51","7.40","4.25","4.94","0.3","0.2","600.6","15291"
