"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Foster Griffin","Royals","0","0","0","0","5.07","1","1","6.0","7","4","1","4","3","1.48","6.22","3.60","5.21","0.0","sa828674"
"Edinson Volquez","Rangers","1","2","0","1","5.40","4","11","33.0","37","20","5","24","17","1.63","6.69","4.64","5.22","0.1","3990"
"Reynaldo Lopez","White Sox","5","8","0","0","5.09","20","20","114.0","116","65","21","99","48","1.44","7.82","3.81","5.23","0.5","16400"
"Jimmy Yacabonis","Orioles","1","1","0","0","5.26","0","20","20.0","21","12","3","16","10","1.55","6.99","4.36","5.23","0.0","15157"
"Bo Takahashi","Diamondbacks","0","0","0","0","5.30","1","1","6.0","7","4","1","5","3","1.45","7.59","3.66","5.23","0.0","sa830370"
"Taylor Hearn","Rangers","2","2","0","0","5.25","6","6","32.0","33","19","5","30","18","1.56","8.42","4.93","5.25","0.1","18325"
"Zac Reininger","Tigers","1","2","0","3","5.35","0","31","31.0","34","18","5","22","12","1.52","6.41","3.57","5.27","-0.1","15285"
"J.B. Bukauskas","Astros","0","0","0","0","5.17","1","1","6.0","6","4","1","5","3","1.57","7.81","5.12","5.28","0.0","sa829263"
"Jimmy Lambert","White Sox","0","0","0","0","5.22","1","1","6.0","7","4","1","5","3","1.49","7.44","4.03","5.28","0.0","sa918003"
"Jake Jewell","Angels","0","0","0","0","5.09","0","7","7.0","7","4","1","5","3","1.56","7.00","4.40","5.28","0.0","16958"
"Drew Anderson","Phillies","0","0","0","1","5.29","0","5","5.0","5","3","1","4","2","1.47","7.73","3.70","5.29","0.0","15130"
"John Means","Orioles","4","8","0","0","5.33","17","17","100.0","114","59","19","71","30","1.43","6.37","2.65","5.29","0.4","16269"
"Mike Shawaryn","Red Sox","0","0","0","0","5.33","1","1","6.0","7","4","1","5","3","1.47","7.16","3.72","5.30","0.0","sa738524"
"Matt Koch","Diamondbacks","0","0","0","1","5.31","0","3","3.0","4","2","1","2","1","1.44","5.62","2.24","5.31","0.0","13420"
"Devin Smeltzer","Twins","1","1","0","0","5.21","2","2","13.0","14","7","2","9","4","1.42","6.44","2.88","5.33","0.0","sa829638"
"Yohander Mendez","Rangers","0","1","0","1","5.15","1","5","10.0","10","6","2","8","5","1.49","7.26","4.18","5.33","0.0","14391"
"Dylan Covey","White Sox","5","9","0","0","5.46","16","20","99.0","110","60","15","69","48","1.60","6.30","4.40","5.34","0.1","14825"
"Odrisamer Despaigne","White Sox","1","2","0","0","5.31","4","4","26.0","28","15","4","19","12","1.53","6.70","4.06","5.34","0.0","16017"
"Kyle Funkhouser","Tigers","0","0","0","0","5.37","1","1","6.0","7","4","1","5","4","1.60","7.52","5.02","5.35","0.0","sa827397"
"Adam Plutko","Indians","3","4","0","0","5.37","7","20","52.0","56","31","11","42","17","1.41","7.31","2.93","5.37","0.1","15846"
"Aaron Slegers","Rays","1","1","0","0","5.30","3","3","19.0","21","11","3","12","6","1.44","5.65","2.74","5.37","0.0","15231"
"Harrison Musgrave","Rockies","0","1","0","1","5.56","0","10","10.0","11","6","2","9","5","1.55","7.62","4.12","5.41","0.0","16532"
"Tony Santillan","Reds","1","1","0","0","5.27","2","2","13.0","13","7","2","11","6","1.52","7.75","4.53","5.43","0.0","sa874781"
"Ryan Carpenter","Tigers","2","3","0","0","5.58","7","7","39.0","44","24","8","30","12","1.46","6.90","2.76","5.45","0.0","12699"
"Pedro Araujo","Orioles","0","0","0","0","5.45","0","3","3.0","3","2","1","3","2","1.56","8.77","5.00","5.47","0.0","17697"
"James Shields","","5","8","0","0","5.47","19","19","117.0","127","71","23","95","47","1.49","7.28","3.64","5.48","-0.1","7059"
"Kyle Dowdy","Rangers","2","4","0","1","5.82","3","24","40.0","47","26","7","31","19","1.64","7.04","4.33","5.48","0.0","19285"
"Edwin Jackson","Blue Jays","3","6","0","0","5.46","14","14","80.0","88","49","15","61","34","1.52","6.86","3.77","5.49","-0.1","1841"
"Trey Supak","Brewers","0","0","0","0","5.42","1","1","6.0","7","4","1","5","2","1.48","6.88","3.55","5.49","0.0","sa828707"
"Marco Estrada","Athletics","3","4","0","0","5.44","10","10","56.0","59","34","11","40","21","1.43","6.39","3.42","5.50","0.0","1118"
"Elvis Luciano","Blue Jays","1","1","0","0","5.39","0","17","17.0","18","10","2","12","10","1.65","6.41","5.12","5.52","-0.1","20632"
"C.D. Pelham","Rangers","0","0","0","1","5.23","0","7","7.0","7","4","1","6","5","1.71","7.96","6.54","5.53","0.0","19820"
"Chance Adams","Yankees","1","1","0","0","5.42","2","2","13.0","13","8","2","11","7","1.57","7.97","4.90","5.57","0.0","18135"
"Gregory Soto","Tigers","3","5","0","0","5.57","10","10","58.0","61","36","7","44","41","1.77","6.83","6.43","5.58","0.0","19677"
"Ricardo Sanchez","Mariners","0","0","0","0","5.39","1","1","6.0","7","4","1","4","3","1.58","6.11","4.37","5.59","0.0","sa830302"
"Carson Fulmer","White Sox","0","1","0","0","5.49","0","10","10.0","10","6","2","9","6","1.66","8.01","5.71","5.60","0.0","18311"
"Jesus Tinoco","Rockies","1","1","0","0","5.80","2","2","13.0","14","8","2","9","5","1.57","6.63","3.87","5.63","0.0","sa657723"
"Stephen Gonsalves","Twins","1","1","0","0","5.36","3","3","19.0","19","11","3","17","11","1.58","7.80","5.30","5.64","0.0","15492"
"Josh Rogers","Orioles","2","3","0","0","5.73","7","7","37.0","45","24","8","22","11","1.52","5.34","2.77","5.67","0.0","18510"
"Jordan Stephens","White Sox","1","2","0","0","5.60","3","7","23.0","24","14","4","18","10","1.52","7.03","4.02","5.67","0.0","sa875031"
"Alex Faedo","Tigers","0","0","0","0","5.66","1","1","6.0","7","4","1","5","2","1.43","6.92","3.06","5.69","0.0","sa829855"
"Jake Woodford","Cardinals","0","0","0","0","5.63","1","1","6.0","7","4","1","4","3","1.61","6.44","4.71","5.70","0.0","sa874753"
