"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Eric Haase","Indians","5","22","20","4","1","0","1","2","3","1","8","0","0","0",".196",".257",".372",".629",".273","0.1","0.0","0.0","14111"
"Victor Reyes","Tigers","9","38","36","9","1","0","0","4","3","2","7","0","1","0",".250",".281",".347",".628",".272","0.1","0.0","0.0","15487"
"Ryan Cordell","White Sox","16","67","61","13","2","0","2","7","7","4","20","1","1","0",".214",".268",".356",".625",".272","-0.1","0.1","-0.1","15181"
"Eric Young Jr.","Mariners","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".224",".285",".332",".617",".272","0.0","0.0","0.0","7158"
"Richie Martin Jr.","Orioles","64","268","244","56","10","3","3","25","20","18","61","4","7","3",".228",".288",".329",".617",".272","-0.4","0.0","0.1","17736"
"Skye Bolt","Athletics","3","14","13","3","1","0","0","1","1","1","4","0","0","0",".209",".275",".346",".620",".272","0.0","0.0","0.0","17723"
"Jorge Mateo","Athletics","5","23","22","5","1","0","0","2","2","1","6","0","1","0",".230",".273",".355",".627",".272","0.0","0.0","0.0","sa657910"
"Grayson Greiner","Tigers","65","272","245","52","10","1","6","25","26","23","75","2","0","0",".211",".280",".333",".613",".271","1.0","0.1","0.4","17062"
"Carlos Tocci","Rangers","2","10","9","2","0","0","0","1","1","1","2","0","0","0",".239",".292",".319",".611",".271","0.0","0.0","0.0","14558"
"Blake Swihart","Diamondbacks","40","168","152","33","6","1","4","18","16","13","48","1","2","1",".214",".280",".332",".612",".270","-0.2","0.4","-0.3","13176"
"Sandy Leon","Red Sox","34","142","128","28","6","0","3","14","14","10","35","1","1","0",".217",".281",".333",".614",".270","1.1","-0.2","0.4","5273"
"Braden Bishop","Mariners","9","37","34","8","1","0","0","4","3","2","8","0","0","0",".230",".289",".319",".608",".270","0.2","0.0","0.0","17806"
"Tyrone Taylor","Brewers","5","19","17","4","1","0","0","2","2","1","4","0","0","0",".218",".265",".357",".622",".270","0.0","0.0","0.0","sa657979"
"Chris Owings","Royals","57","238","220","50","12","2","4","23","21","13","60","2","7","2",".227",".276",".349",".624",".270","-0.2","0.5","-0.1","10030"
"Andrew Velazquez","Rays","4","15","13","3","0","0","0","1","1","1","4","0","1","0",".223",".272",".345",".617",".269","0.0","0.0","0.0","14196"
"Zach Vincej","Orioles","2","9","9","2","0","0","0","1","1","1","2","0","0","0",".234",".286",".324",".610",".269","-0.1","0.0","0.0","13269"
"Caleb Joseph","Diamondbacks","8","34","32","7","2","0","1","3","3","2","9","0","0","0",".225",".269",".349",".618",".269","0.2","0.0","0.0","7087"
"Brett Phillips","Royals","6","24","21","4","1","0","1","2","2","2","9","0","1","0",".197",".279",".330",".609",".269","0.4","0.1","0.0","14735"
"Cam Gallagher","Royals","19","78","71","16","3","0","1","7","7","5","12","1","0","0",".230",".285",".324",".609",".269","0.3","0.0","0.2","12981"
"Ryan Goins","White Sox","3","14","13","3","1","0","0","1","1","1","4","0","0","0",".219",".282",".325",".607",".268","0.0","0.0","0.0","9807"
"Tom Murphy","Mariners","31","131","121","25","6","1","4","12","14","7","51","1","1","1",".202",".253",".370",".622",".268","-0.6","0.0","0.1","13499"
"Aramis Garcia","Giants","15","61","56","12","2","0","2","6","6","4","19","0","0","0",".213",".263",".351",".614",".267","0.1","0.0","0.1","16925"
