All Pitchers Year to Date MLB True Talent Categories,,,,,,,,,,,,,,,,,
Avail,Player,INN,GS,BFP,PC,W,S,K,BB,H,HR,ER,ERA,WHIP,Kd9,BBd9,Rank
W ,David Garner RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Conor Fisk RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Miguel Almonte RP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tom Eshelman SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,JT Chargois RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ross Detwiler RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Gonzalo Sanudo RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Merrill Kelly SP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Daniel Tillman RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mark Sappington SP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,A.J. Ladwig P | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Travis Ballew RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Starling Peralta SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tobias Myers SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Roniel Raudes SP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Charles Nading RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Henry Henry RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Stephen Villines RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mike McCarthy P | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Stephen Gonsalves SP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Hector Velazquez RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brenan Hanifee RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cesar Ramos RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dan Altavilla RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Robbie Ross RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alex Cobb SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dan Runzler RP | TB ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Marcos Molina SP | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Darren O'Day RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Daniel Gossett SP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Daniel Zamora RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jake Odorizzi SP | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Union State Connectors,Joe Musgrove SP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Wei-Chieh Huang P | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Logan Sendelbach RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Johan Oviedo SP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Cyr RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joe Ross SP | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Zach Davies SP | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Springer International,Kyle Freeland SP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Argenis Blanco RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Donnie Hart RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
