All Pitchers Year to Date MLB True Talent Categories,,,,,,,,,,,,,,,,,
Avail,Player,INN,GS,BFP,PC,W,S,K,BB,H,HR,ER,ERA,WHIP,Kd9,BBd9,Rank
W ,Robinson Leyer P | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Liam Hendriks RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Robert Benincasa P | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,James Buckelew P | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dan Jennings RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Radhames Liz RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Harvey SP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dan Slania RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,David Roseboom RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brailyn Marquez SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Stephen Janas SP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Carlos Alvarado RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Wes Benjamin RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cody Buckel RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rogelio Armenteros SP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Aaron Cox RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jose Velez RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Trey Nielsen SP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matthias Dietz SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Adonys Cardona SP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyson Ross SP | DET ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nabil Crismatt SP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jaime Schultz RP | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brett McKinney RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nick Anderson RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Raynel Espinal RP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Colin Poche RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Zion Iron Lions,German Marquez SP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Carson Fulmer SP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Zach Neal RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brendon Little SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Caleb Ferguson RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Edgar Santana RP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Daury Torrez RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,John Lamb SP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Daniel Norris SP | DET ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Robert Stephenson SP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Kendrick SP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Scott Kazmir SP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Hobbs Johnson P | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Anthony Banda RP | TB ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Danny Barnes RP | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Silvino Bracho RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ariel Miranda SP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Dowdy SP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Bruce Zimmermann RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Trevor Kelley RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dillon Maples RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jonathan Holder RP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
University of Woolloomooloo Philosophy Department,Jose Urena SP | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kris Bubic SP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Bugner RP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cody Dickson RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rafael Kelly SP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chris Heston RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Taylor Widener SP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Droitwich Murdercocks,Rich Hill SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Forrest Snow SP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jefri Hernandez RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,John Axford RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Wilmer Font RP | TB ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,R.J. Alvarez RP | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Sean Burnett RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tanner Scott RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Junior Fernandez SP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Carlos Portuondo RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mauricio Cabrera RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nick Goody RP | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,James Farris RP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Myles Smith RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Fernando Rodney RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jose Mesa SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh James SP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Andy Beltre RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Scott McGough RP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Edubray Ramos RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dylan Thompson SP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Burch Smith RP | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Sal Romano SP | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
The Midnight Sillies,Koda Glover RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Trevor Gott RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Screaming Prairie Camels,J.A. Happ SP | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yuhei Nakaushiro P | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chris Beck RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mason Denaburg SP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mason Thompson SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Merritt SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Bryan Mata SP | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Koval RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yusei Kikuchi SP | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Zach Putnam RP | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brent Honeywell SP | TB ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Jensen P | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Shane Carle RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dane Dunning SP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cody Winiarski RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Justin Haley RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Sean Donatello P | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Taylor Clarke SP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Bernardo Flores SP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jesse Scholtens SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Walk-In Closets,Roberto Osuna RP | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Mason RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Tonkin RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jordan Sheffield RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Smith SP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
DickCards,Archie Bradley RP | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Caleb Smith SP | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Henry Owens SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Austin Maddox RP | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Sam Gaviglio SP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Lex Rutledge P | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Adam Plutko SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Shao-Ching Chiang P | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Miguel Diaz RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Daniel Camarena SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jeremy Hellickson SP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Drew Rucinski RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rafael Montero SP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jose Quijada P | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Spencer Howard SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Santiago Casilla RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Droitwich Murdercocks,Touki Toussaint SP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jesus Luzardo SP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jacob Webb P | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Austin Orewiler RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jacob Nix SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Wisler RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Anthony Kay SP | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kaleb Fleck RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Buchter RP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dayan Diaz RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jason Richman RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Austin Adams RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Johnson P | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Kolek SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Bryan Mitchell SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Robert Stock RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Franklin Perez SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Carlos Hernandez SP | KC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jeff Singer RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Union State Connectors,Nick Kingham SP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Christian Bethancourt RP | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jeremy Kivel P | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan O'Rourke RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Louis Head P | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Zac Reininger RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Hector Daniel Rodriguez SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Blake Quinn RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Corey Littrell SP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Paolo Espino RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Danny Gutierrez SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Tabor SP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Roenis Elias RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
The Midnight Sillies,Michael Wacha SP | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Luke Bard RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Phillips SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kody Kerski P | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Adam Wilk RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Drew Pomeranz RP | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Justin Dunn SP | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nathan Bates RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Murphy Smith RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Marco Carrillo RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ian Gibaut RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Austin Sodders RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Danny Farquhar RP | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Cody Reed SP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Daniel Lynch SP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Cackleberry Czars,Anthony DeSclafani SP | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rodolfo Martinez RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jhan Marinez RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Scott Alexander RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Victor Alcantara RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Robert Dugger SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Austin Voth SP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Parker Bridwell RP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Dermody RP | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tommy Shirley P | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Gabe Hemmer RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brooks Pounders RP | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Mizenko RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kevin McAvoy RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kelly Secrest RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Ravin RP | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joe Broussard RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Droitwich Murdercocks,Andrew Suarez SP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Carlos Ramirez RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Vicente Campos RP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tom Wilhelmsen RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brad Wieck RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Craig Breslow RP | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jordan Yamamoto SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
DickCards,Corey Kluber SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Pedro Beato RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brock Burke P | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Taylor Williams RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Robert Zarate SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Reinier Roibal RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Bartolo Colon SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Heath Fillmyer SP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brian Loconsole P | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jordan Cooper P | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Zach Thompson RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jason Creasy RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Justin Brantley RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Daniel Stumpf RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Damien Magnifico RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Whitehouse RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Hartman SP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joe Rogers P | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ashe Russell SP | KC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yoanner Negrin RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Corey Copping P | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alex Powers RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Logan Boyd P | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alexis Rivero RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Andrew Church SP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Clayton Richard SP | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Arturo Reyes RP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jordan Holloway SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Adam Bray RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kolby Allard RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ryan Yarbrough RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rob Scahill RP | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brady Dragmire RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Deolis Guerra RP | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Harrison Musgrave RP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Francisco Rios SP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Branden Kline SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jaron Long SP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brady Rodgers RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Lyons RP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jorge De La Rosa RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Sam Dyson RP | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Devin Williams SP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chris O'Grady RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Luis Gonzalez RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jonathan Aro RP | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Bus 3,Freddy Peralta SP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Frank Lopez SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Argenis Angulo P | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Stefan Crichton RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Pierpont P | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Zion Iron Lions,Nick Pivetta SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Bradin Hagens SP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brock Stewart RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alex Colome RP | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Gage Hinsz SP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Edison Frias RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brandon Leibrandt SP | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Pedro Araujo RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Uhen RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Cackleberry Czars,Ken Giles RP | TOR ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rowan Wick RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,C.D. Pelham RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ariel Hernandez RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joaquin Benoit RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ben Taylor RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Hart P | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Yency Almonte RP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Montreal Robertson SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Sandy Lugo RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
The Midnight Sillies,Jon Gray SP | COL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Osich RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Corbin Clouse RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chase De Jong SP | MIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jose Alberto Molina RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,T.J. House RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alan Garcia RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Sam Street RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ronald Herrera RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Seung-Hwan Oh RP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
