Avail,Player,INN,GS,BFP,PC,W,S,K,BBI,HA,HRA,ER,ERA,WHIP,Kd9,BBd9,Rank
FA,Jeff Locke SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Parker Markel RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Kieran Lovegrove SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brandon League RP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Chris Capuano RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Anyelo Leclerc RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Johendi Jiminian P | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Loek Van Mil RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Seth Lugo SP | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tony Zych RP | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Nick Tropeano SP | LAA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Kyle Hunter P | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Yeudy Garcia SP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Nick Wells SP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Scott Williams RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Richard Lovelady RP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,John Cornely RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Kurt Heyer P | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Taylor Jungmann RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Union State Connectors,Zack Wheeler SP | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Bo Schultz RP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jimmie Sherfy RP | ARI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Joe Mantiply RP | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Derek Eitel P | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Javy Guerra RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
12oz Darlings,Gio Gonzalez SP | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Yusmeiro Petit RP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Javier Lopez RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Pedro Strop RP | CHC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Marco Gonzales SP | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jordan Zimmermann SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Stephen Landazuri SP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Chad Kuhl SP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Josh Roenicke RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Heriberto Ruelas RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Chance Adams SP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Ben Bracewell RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Colby Suggs RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Matt Grace RP | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jered Weaver SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Chris Reed RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brett Cecil RP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Daniel Webb RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Sandy Alcantara RP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Springer International,Joakim Soria RP | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Yoel Mecias SP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jordan Norberto RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Franklin Morales RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jairo Labourt RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Neil Ramirez RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
