"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Kyle Holder","CIN","3","14","13","3","1","0","0","1","1","1","3","0","0","0",".237",".290",".349",".638",".275","0.0","0.0","0.0","599.9","sa857840"
"Lucas Raley","LAD","3","14","13","3","0","0","0","2","2","1","4","0","0","0",".229",".287",".388",".676",".287","0.0","0.0","0.0","999.0","sa918048"
"Jonathan Arauz","","3","14","13","3","1","0","0","1","1","1","3","0","0","0",".235",".293",".365",".659",".283","-0.1","0.0","0.0","599.8","20275"
"Khalil Lee","NYM","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".211",".296",".337",".634",".278","0.0","0.0","0.0","601.0","sa917996"
"Guillermo Heredia","","2","7","6","1","0","0","0","1","1","1","1","0","0","0",".239",".312",".367",".679",".295","0.0","0.0","0.0","999.0","18721"
"Travis Jankowski","PHI","2","7","6","1","0","0","0","1","0","1","2","0","0","0",".228",".307",".302",".609",".272","0.0","0.0","0.0","999.0","13768"
"Brock Holt","TEX","52","224","196","48","9","1","3","23","19","22","49","3","2","1",".243",".326",".345",".671",".294","-0.1","-0.5","0.0","600.7","9345"
"Andy Ibanez","TEX","13","56","51","12","2","0","1","6","6","4","11","1","1","0",".242",".303",".369",".672",".289","0.0","-0.1","0.0","999.0","sa914201"
"Connor Joe","COL","5","21","18","5","1","0","1","2","2","2","5","0","0","0",".248",".339",".412",".751",".323","0.0","0.0","0.0","999.0","16572"
"Meibrys Viloria","KCR","13","51","46","10","2","0","1","4","4","4","13","1","0","0",".226",".289",".327",".616",".269","0.1","-0.1","0.0","999.0","17109"
"Estevan Florial","NYY","2","7","6","1","0","0","0","1","1","0","2","0","0","0",".209",".267",".340",".607",".260","0.0","0.0","0.0","999.0","19151"
"Cameron Maybin","CHC","19","84","74","18","4","0","2","9","8","8","21","1","2","1",".242",".321",".369",".690",".300","-0.1","0.0","0.0","999.0","5223"
"Will Craig","PIT","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".220",".290",".374",".664",".284","0.0","0.0","0.0","999.0","19267"
"Jordy Mercer","WSN","3","14","13","3","1","0","0","1","1","1","3","0","0","0",".239",".300",".362",".662",".283","-0.1","0.0","0.0","999.0","6547"
"Caleb Joseph","NYM","3","13","12","2","0","0","0","1","1","1","4","0","0","0",".203",".250",".329",".579",".248","0.0","0.0","0.0","999.0","7087"
"Luis Gonzalez","","5","21","19","4","1","0","0","2","2","2","5","0","0","0",".228",".290",".359",".649",".279","0.1","0.0","0.0","999.0","20332"
"Jose Trevino","TEX","91","360","337","79","18","0","7","36","34","15","68","2","2","1",".233",".267",".354",".621",".264","2.7","-0.5","0.0","547.7","16725"
"Alex Blandino","CIN","8","35","30","6","1","0","1","4","3","4","10","1","0","0",".207",".318",".327",".646",".288","-0.3","-0.1","0.0","999.0","16271"
"Derek Hill","DET","2","7","6","1","0","0","0","1","1","0","2","0","0","0",".212",".269",".324",".593",".257","0.0","0.0","0.0","999.0","16947"
"John Hicks","TEX","3","13","12","3","1","0","0","1","1","1","4","0","0","0",".222",".265",".371",".636",".270","0.0","0.0","0.0","999.0","12547"
"Ryan O'Hearn","KCR","10","42","37","8","2","0","1","4","5","4","11","0","0","0",".224",".310",".405",".716",".304","0.0","0.0","0.0","600.7","16442"
"Christin Stewart","DET","6","28","25","6","1","0","1","3","3","3","7","0","0","0",".228",".307",".414",".721",".305","0.0","0.0","0.0","600.9","17714"
"Jorge Ona","SDP","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".217",".286",".355",".642",".276","0.0","0.0","0.0","999.0","20040"
"Willie Calhoun","TEX","112","483","440","113","21","2","19","56","65","35","78","4","2","1",".257",".316",".445",".761",".320","-2.0","-0.7","0.0","453.0","17838"
